scan_time,ticker,current_price,ctx_Y_closed,ctx_Q_closed,ctx_M_closed,ctx_W_closed,ctx_D_closed,ctx_Y_live,ctx_Q_live,ctx_M_live,ctx_W_live,ctx_D_live,score,sector,industry,etfs,etf_count,etfs_pretty
2026-05-06 18:48:21 EDT,ETN,421.27,2U,2U,2U,3,2U,2U,2U,2U,2D,2U,13,Industrials,Unknown,XLI,1,XLI
2026-05-06 18:48:21 EDT,MDT,77.61,2U,2D,2D,2D,2D,2D,2D,2D,2D,2D,-5,Health Care,Unknown,XLV,1,XLV
2026-05-06 18:48:21 EDT,WELL,216.42,2U,2U,2U,2U,1,2U,2U,1,1,1,14,Real Estate,Unknown,,0,
2026-05-06 18:48:21 EDT,BUD,82.1,3,2U,1,2U,2U,2U,2U,2U,2U,2U,7,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,PGR,196.8,2U,2D,2D,2D,2U,2D,2D,1,1,2U,-3,Financials,Unknown,XLF,1,XLF
2026-05-06 18:48:21 EDT,ARM,237.12,1,2D,2U,1,2U,2U,2U,2U,2U,2U,0,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,CB,321.91,2U,2U,1,1,3,2U,1,1,2D,3,9,Financials,Unknown,XLF,1,XLF
2026-05-06 18:48:21 EDT,PLD,142.9,2D,2U,2U,2D,2U,2U,2U,1,3,2U,1,Real Estate,Unknown,,0,
2026-05-06 18:48:21 EDT,KKR,100.79,2U,2D,2U,2D,1,2D,1,1,1,1,2,Financials,Unknown,XLF,1,XLF
2026-05-06 18:48:21 EDT,LMT,514.17,2D,2U,2D,2D,2D,2U,1,2D,2D,2D,-7,Industrials,Unknown,XLI,1,XLI
2026-05-06 18:48:21 EDT,COP,118.88,2D,2U,2D,2U,2D,2U,1,1,2D,2D,-3,Energy,Unknown,XLE,1,XLE
2026-05-06 18:48:21 EDT,NEM,115.1,2U,2U,1,2D,2U,2U,1,1,1,2U,8,Materials,Unknown,,0,
2026-05-06 18:48:21 EDT,VRTX,427.55,2D,2U,2D,2D,1,1,2D,2D,2D,1,-6,Health Care,Unknown,XLV,1,XLV
2026-05-06 18:48:21 EDT,BTI,59.56,2U,2U,2D,2U,2U,2U,1,1,2U,2U,9,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,SPOT,425.25,2U,2D,2D,2D,2D,2D,1,2D,2D,2D,-5,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,PH,902.46,2U,2U,2U,2D,2U,2U,1,2D,2D,2U,11,Industrials,Unknown,XLI,1,XLI
2026-05-06 18:48:21 EDT,SNY,43.73,3,2D,2U,2D,2U,2D,2D,2D,2D,2U,-2,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,CRWD,467.98,2U,2D,2U,1,2D,1,1,2U,2U,2D,3,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,IBN,26.75,2U,2D,1,2D,2U,2D,1,1,2D,2U,0,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,MELI,1840.82,2U,2D,2U,2D,2U,2D,1,1,2U,2U,3,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,BMY,56.55,2U,2U,1,3,2D,1,1,2D,2D,2D,8,Health Care,Unknown,XLV,1,XLV
2026-05-06 18:48:21 EDT,CEG,322.74,2U,2D,2D,2U,3,1,1,2U,2U,3,0,Utilities,Unknown,XLU,1,XLU
2026-05-06 18:48:21 EDT,HCA,429.45,2U,2U,2D,1,2U,2U,2D,1,2D,2U,7,Health Care,Unknown,XLV,1,XLV
2026-05-06 18:48:21 EDT,BN,46.47,2U,3,2U,2D,2U,2U,1,1,2U,2U,7,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,HOOD,79.05,2U,2D,2U,2D,3,1,1,1,1,3,2,Financials,Unknown,ARKK|XLF,2,"ARKK, XLF"
2026-05-06 18:48:21 EDT,ADP,207.28,2U,2D,2D,2U,2D,2D,2D,2U,1,2D,-1,Industrials,Unknown,XLI,1,XLI
2026-05-06 18:48:21 EDT,GSK,50.54,3,2U,3,2D,2U,2U,1,1,1,2U,3,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,CVS,86.86,2U,2D,2U,2U,2U,2U,2U,2U,2U,2U,7,Health Care,Unknown,XLV,1,XLV
2026-05-06 18:48:21 EDT,MCK,742.99,2U,2U,2D,2D,2D,2U,2D,2D,2D,2D,3,Health Care,Unknown,XLV,1,XLV
2026-05-06 18:48:21 EDT,SBUX,106.43,2U,2U,2U,3,2U,1,2U,2U,2U,2U,13,Consumer Discretionary,Unknown,XLY,1,XLY
2026-05-06 18:48:21 EDT,ENB,54.21,2U,3,3,2U,2D,2U,2U,2U,1,2D,6,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,CMCSA,26.42,2D,2U,2D,2D,1,1,2D,2D,2D,1,-6,Communication Services,Unknown,,0,
2026-05-06 18:48:21 EDT,DASH,167.83,2U,2D,2U,2D,2D,2D,1,1,1,2D,1,Consumer Discretionary,Unknown,XLY,1,XLY
2026-05-06 18:48:21 EDT,SNPS,504.2,3,2U,2U,1,2D,1,1,2U,2U,2D,6,Unknown,Unknown,SMH,1,SMH
2026-05-06 18:48:21 EDT,GD,347.26,3,2U,2D,3,2D,2U,2D,2U,2U,2D,0,Industrials,Unknown,XLI,1,XLI
2026-05-06 18:48:21 EDT,MFG,8.85,2U,2U,2U,1,2U,2U,1,1,2U,2U,13,Unknown,Unknown,,0,
2026-05-06 18:48:21 EDT,CME,288.29,2U,2U,2D,2U,2D,2U,1,1,2U,2D,7,Financials,Unknown,XLF,1,XLF
2026-05-06 18:48:21 EDT,NKE,43.85,2D,2D,2D,2D,2U,2D,2D,1,2D,2U,-13,Consumer Discretionary,Unknown,XLY,1,XLY
2026-05-06 18:48:21 EDT,CVNA,389.29,2U,3,2U,3,2U,2U,1,1,2D,2U,9,Consumer Discretionary,Unknown,XLY,1,XLY
